symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CQH,2016-12-31,False,FY,2016,10-K,1100240000.0,,17798000.0,0.08,0.08,0.08,423000.0,423000.0,78000.0,219000.0,345000.0,-2500000.0,,-18536000.0
LNG,2016-12-31,False,FY,2016,10-K,1283167000.0,-29367000.0,-609991000.0,-2.67,-2.67,0.0,23702737000.0,2238318000.0,1076669000.0,875836000.0,838396000.0,-403842000.0,-4413411000.0,4907575000.0
CQP,2016-12-31,False,FY,2016,10-K,1100240000.0,250436000.0,-171195000.0,-0.2,-0.2,0.0,15542340000.0,958260000.0,855711000.0,0.0,,-249000.0,-2353399000.0,2524164000.0
CTO,2016-12-31,False,FY,2016,10-K,71074861.0,37319587.0,16251248.0,2.86,2.85,0.12,408623426.0,,,7779562.0,148275842.0,14288445.0,-23418661.0,12849101.0
GSAT,2016-12-31,False,FY,2016,10-K,96861000.0,-63676000.0,-132646000.0,-0.12,-0.12,0.0,1132614000.0,38130000.0,172450000.0,10230000.0,161819000.0,8813000.0,-24616000.0,18502000.0
IMO,2016-12-31,False,FY,2016,10-K,27354000000.0,,2165000000.0,2.55,2.55,0.59,41654000000.0,3831000000.0,3883000000.0,391000000.0,25021000000.0,2015000000.0,1947000000.0,-3774000000.0
RNN,2016-12-31,False,FY,2016,10-K,,-16413385.0,-9307345.0,-0.04,-0.04,0.0,21043532.0,20924097.0,,11578473.0,17058462.0,-13227101.0,4483911.0,10122223.0
SYRG,2016-12-31,False,FY,2016,10-K,107149000.0,-211575000.0,-219189000.0,-1.26,-1.26,0.0,1024113000.0,54184000.0,92240000.0,18615000.0,840739000.0,48688000.0,-636135000.0,539563000.0
AAN,2016-12-31,False,FY,2016,10-K,3207716000.0,242676000.0,139283000.0,1.93,1.91,0.1025,2615736000.0,,,308561000.0,1481598000.0,465444000.0,-20081000.0,-151871000.0
ATEN,2016-12-31,False,FY,2016,10-K,230003000.0,-19119000.0,-20940000.0,-0.32,-0.32,0.0,221338000.0,201309000.0,102710000.0,28975000.0,86066000.0,18778000.0,-96355000.0,8435000.0
AKR,2016-12-31,False,FY,2016,10-K,189939000.0,21889000.0,72776000.0,0.94,0.94,1.16,3995960000.0,,,71805000.0,2178125000.0,111760000.0,-610970000.0,498239000.0
ADSW,2016-12-31,False,FY,2016,10-K,1404600000.0,131900000.0,-30400000.0,-0.44,-0.44,0.0,3369900000.0,214700000.0,324600000.0,1200000.0,829500000.0,237000000.0,-170600000.0,-65800000.0
HIVE,2016-12-31,False,FY,2016,10-K,169825000.0,-36813000.0,-36911000.0,-0.73,-0.73,0.0,136483000.0,121862000.0,71789000.0,34346000.0,28688000.0,-14554000.0,276000.0,2883000.0
AMG,2016-12-31,False,FY,2016,10-K,2200900000.0,705300000.0,472800000.0,8.73,8.57,0.0,8749100000.0,,,430800000.0,4426500000.0,1027600000.0,-1332200000.0,200900000.0
ADC,2016-12-31,False,FY,2016,10-K,91527000.0,51509000.0,45118000.0,1.97,1.97,0.0,1111925000.0,,,33395000.0,685510000.0,61735000.0,-297554000.0,266502000.0
AL,2016-12-31,False,FY,2016,10-K,1419055000.0,,374925000.0,3.65,3.44,0.225,13975616000.0,,,274802000.0,3382187000.0,1020078000.0,-2005516000.0,1103565000.0
AFL,2016-12-31,False,FY,2016,10-K,22559000000.0,4303000000.0,2659000000.0,6.46,6.42,1.66,129819000000.0,,,4859000000.0,20482000000.0,5987000000.0,-3855000000.0,-1619000000.0
ATI,2016-12-31,False,FY,2016,10-K,3134600000.0,-612400000.0,-640900000.0,-5.97,-5.97,0.24,5170000000.0,1766500000.0,708700000.0,229600000.0,1444800000.0,-43700000.0,-200000000.0,323500000.0
AGN,2016-12-31,False,FY,2016,10-K,14570600000.0,-1825500000.0,14695000000.0,38.18,38.18,0.0,128986300000.0,17857900000.0,7874700000.0,1724000000.0,76200500000.0,1425300000.0,24333300000.0,-25122100000.0
LNT,2016-12-31,False,FY,2016,10-K,3320000000.0,537000000.0,371500000.0,1.65,1.65,1.175,13373800000.0,877100000.0,1162000000.0,8200000.0,4062000000.0,859600000.0,-1186500000.0,329300000.0
ALSN,2016-12-31,False,FY,2016,10-K,1840200000.0,451500000.0,214900000.0,1.28,1.27,0.6,4218600000.0,547600000.0,342200000.0,204700000.0,1080300000.0,590800000.0,-71400000.0,-564700000.0
AFG,2016-12-31,False,FY,2016,10-K,6498000000.0,787000000.0,649000000.0,7.47,7.33,2.1525,55072000000.0,,,2107000000.0,4919000000.0,1150000000.0,-2981000000.0,2718000000.0
AIG,2016-12-31,False,FY,2016,10-K,52367000000.0,,-849000000.0,-0.78,-0.78,1.28,498264000000.0,,,1868000000.0,76858000000.0,2383000000.0,4744000000.0,-6833000000.0
AWR,2016-12-31,False,FY,2016,10-K,436087000.0,114716000.0,59411000.0,1.63,1.62,0.914,1470493000.0,166875000.0,177944000.0,436000.0,494297000.0,96949000.0,-131221000.0,30344000.0
AMH,2016-12-31,False,FY,2016,10-K,878889000.0,,-33542000.0,-0.14,-0.14,0.2,8107210000.0,,,118799000.0,4937620000.0,278867000.0,-522398000.0,324804000.0
AMP,2016-12-31,False,FY,2016,10-K,11735000000.0,,1314000000.0,7.9,7.81,2.92,139821000000.0,,,2318000000.0,6292000000.0,1971000000.0,-804000000.0,-1131000000.0
AME,2016-12-31,False,FY,2016,10-K,3840087000.0,801897000.0,512158000.0,2.2,2.19,0.36,7100674000.0,1928190000.0,924441000.0,717259000.0,3256513000.0,756835000.0,-452367000.0,57054000.0
NLY,2016-12-31,False,FY,2016,10-K,,,1351496000.0,1.39,1.39,1.2,87905046000.0,,,1539746000.0,12575972000.0,6855863000.0,-2062149000.0,-5023226000.0
APA,2016-12-31,False,FY,2016,10-K,5367000000.0,-803000000.0,-1405000000.0,-3.62,-3.62,1.0,22519000000.0,3241000000.0,1843000000.0,1400000000.0,7679000000.0,2430000000.0,-1660000000.0,-860000000.0
AXE,2016-12-30,False,FY,2016,10-K,7622800000.0,285300000.0,120500000.0,3.61,3.59,0.0,4093600000.0,2688500000.0,1263900000.0,115100000.0,1292200000.0,278800000.0,-37300000.0,-273000000.0
AON,2016-12-31,False,FY,2016,10-K,11627000000.0,1906000000.0,1396000000.0,5.21,5.16,1.29,26615000000.0,13146000000.0,12495000000.0,431000000.0,5532000000.0,2326000000.0,-954000000.0,-1286000000.0
AIV,2016-12-31,False,FY,2016,10-K,995854000.0,246796000.0,417781000.0,2.68,2.67,1.32,6232818000.0,,,61244000.0,1944966000.0,377724000.0,-97773000.0,-269496000.0
WTR,2016-12-31,False,FY,2016,10-K,819875000.0,325585000.0,234182000.0,1.32,1.32,0.7386,6158991000.0,128650000.0,301536000.0,3763000.0,1850068000.0,395788000.0,-383209000.0,-12045000.0
ACI,2016-12-31,False,FY,2016,10-K,0.62,,,,,0.0,2136597000.0,878622000.0,312231000.0,305372000.0,746577000.0,84192000.0,17984000.0,2709000.0
AROC,2016-12-31,False,FY,2016,10-K,807069000.0,,-55185000.0,-0.8,-0.8,0.4975,2414779000.0,215685000.0,106528000.0,3134000.0,684928000.0,274072000.0,-89459000.0,-183042000.0
ABG,2016-12-31,False,FY,2016,10-K,6527800000.0,297800000.0,167200000.0,7.43,7.4,0.0,2336100000.0,1332400000.0,1104900000.0,3400000.0,279700000.0,142300000.0,4900000.0,-146600000.0
AGO,2016-12-31,False,FY,2016,10-K,1677000000.0,,880000000.0,6.61,6.56,0.52,14151000000.0,,,118000000.0,6504000000.0,-141000000.0,1076000000.0,-978000000.0
ALV,2016-12-31,False,FY,2016,10-K,2694000000.0,847700000.0,567100000.0,6.43,6.42,2.32,8234400000.0,4140900000.0,2597600000.0,1226700000.0,3926400000.0,868400000.0,-726000000.0,-200200000.0
AVB,2016-12-31,False,FY,2016,10-K,2045255000.0,1410697000.0,1034002000.0,7.53,7.52,5.4,17867271000.0,,,214994000.0,10171416000.0,1143484000.0,-1037352000.0,-291645000.0
AVY,2016-12-31,False,FY,2016,10-K,6086500000.0,,320700000.0,3.6,3.54,1.6,4396400000.0,1904800000.0,2004300000.0,195100000.0,925500000.0,585300000.0,-435400000.0,-106200000.0
BAC,2016-12-31,False,FY,2016,10-K,83701000000.0,,16224000000.0,1.58,1.5,0.25,2187702000000.0,,,30719000000.0,266840000000.0,-2007000000.0,-65789000000.0,-9980000000.0
BAX,2016-12-31,False,FY,2016,10-K,10163000000.0,724000000.0,4965000000.0,9.09,9.01,0.505,15546000000.0,6574000000.0,2744000000.0,2801000000.0,8280000000.0,1654000000.0,-715000000.0,-324000000.0
