symbol,date,open,high,low,close,volume,adj_close
ACU,2017-03-02,25.50,25.50,24.59,25.389999,1200,25.389999
ACU,2017-03-01,25.17,25.700001,25.17,25.379999,3300,25.379999
FAX,2017-03-02,4.93,4.94,4.89,4.92,792800,4.92
FAX,2017-03-01,5.00,5.00,4.93,4.93,1172100,4.93
AIII,2017-03-02,1.14,1.19,1.12,1.14,23700,1.14
AIII,2017-03-01,1.15,1.17,1.10,1.11,40400,1.11
ATNM,2017-03-02,1.35,1.36,1.30,1.33,727500,1.33
ATNM,2017-03-01,1.44,1.44,1.38,1.38,428200,1.38
XXII,2017-03-02,0.96,0.97,0.90,0.93,745000,0.93
XXII,2017-03-01,0.98,0.98,0.925,0.96,450900,0.96
FCO,2017-03-02,8.56,8.58,8.50,8.50,24200,8.50
FCO,2017-03-01,8.63,8.63,8.52,8.54,33500,8.54
IF,2017-03-02,6.61,6.61,6.58,6.58,5700,6.58
IF,2017-03-01,6.62,6.65,6.62,6.64,7100,6.64
AE,2017-03-02,40.400002,40.560001,39.18,39.650002,3300,39.650002
AE,2017-03-01,40.98,40.98,39.110001,40.50,5000,40.50
ISL,2017-03-02,16.92,16.99,16.92,16.99,400,16.99
ISL,2017-03-01,17.299999,17.299999,17.040001,17.16,6400,17.16
CH,2017-03-02,6.45,6.48,6.40,6.41,14500,6.41
CH,2017-03-01,6.44,6.48,6.42,6.47,20300,6.47
ADK,2017-03-02,1.36,1.36,1.27,1.28,102300,1.28
ADK,2017-03-01,1.35,1.39,1.33,1.33,12000,1.33
ACY,2017-03-02,10.01,10.01,9.95,9.98,2900,9.98
ACY,2017-03-01,9.95,10.20,9.95,9.98,4000,9.98
AXU,2017-03-02,1.58,1.65,1.50,1.50,964300,1.50
AXU,2017-03-01,1.63,1.69,1.57,1.67,438300,1.67
AIRI,2017-03-02,3.88,4.05,3.55,3.72,58800,3.72
AIRI,2017-03-01,3.90,4.06,3.75,3.75,18500,3.75
APT,2017-03-02,3.00,3.20,3.00,3.15,65200,3.15
APT,2017-03-01,3.05,3.10,3.00,3.00,26100,3.00
AAU,2017-03-02,1.14,1.17,1.06,1.06,274200,1.06
AAU,2017-03-01,1.04,1.16,1.04,1.16,256300,1.16
AMS,2017-03-02,4.25,4.25,4.10,4.10,15600,4.10
AMS,2017-03-01,4.10,4.10,4.00,4.00,4900,4.00
DIT,2017-03-02,100.050003,100.050003,100.050003,100.050003,000,100.050003
DIT,2017-03-01,100.00,100.050003,100.00,100.050003,400,100.050003
AAMC,2017-03-02,74.449997,79.00,72.269997,79.00,5600,79.00
AAMC,2017-03-01,71.300003,76.349998,71.300003,73.550003,3300,73.550003
ADGE,2017-03-02,0.32,0.34,0.32,0.33,27200,0.33
ADGE,2017-03-01,0.32,0.33,0.32,0.32,87400,0.32
ALN,2017-03-02,0.57,0.59,0.57,0.59,10400,0.59
ALN,2017-03-01,0.60,0.60,0.55,0.59,11900,0.59
AMPE,2017-03-02,0.88,0.90,0.81,0.89,324900,0.89
AMPE,2017-03-01,0.85,0.88,0.82,0.87,284900,0.87
USAS,2017-03-02,3.00,3.11,2.86,2.86,90200,2.86
USAS,2017-03-01,3.15,3.16,3.05,3.10,68600,3.10
HRT,2017-03-02,3.98,4.01,3.85,4.01,4900,4.01
HRT,2017-03-01,4.05,4.10,4.03,4.03,3500,4.03
AXN,2017-03-02,0.41,0.44,0.41,0.42,93600,0.42
AXN,2017-03-01,0.41,0.45,0.40,0.43,65900,0.43
AKG,2017-03-02,2.65,2.71,2.45,2.49,2140100,2.49
AKG,2017-03-01,2.62,2.73,2.54,2.72,2026900,2.72
AINC,2017-03-02,57.490002,59.439999,57.490002,59.09,2600,59.09
AINC,2017-03-01,56.191002,57.169998,56.191002,56.939999,2500,56.939999
AST,2017-03-02,3.75,3.80,3.60,3.65,99200,3.65
AST,2017-03-01,3.85,3.90,3.75,3.80,85600,3.80
AUXO,2017-03-02,3.74,3.85,3.74,3.85,11400,3.85
AUXO,2017-03-01,3.71,3.72,3.71,3.72,2600,3.72
AWX,2017-03-02,2.78,2.92,2.78,2.92,500,2.92
